Local time,Open,High,Low,Close,Volume
03.04.2004 02:30:00.000 GMT+0430,0.75708,0.75708,0.75708,0.75708,0
04.04.2004 02:30:00.000 GMT+0430,0.75708,0.75708,0.75708,0.75708,0
05.04.2004 01:30:00.000 GMT+0430,0.75504,0.75962,0.75090,0.75338,2506467.2383
06.04.2004 01:30:00.000 GMT+0430,0.75355,0.76336,0.75064,0.76285,2484544.7148
07.04.2004 01:30:00.000 GMT+0430,0.76293,0.76905,0.75687,0.76578,2515210.5546999993
08.04.2004 01:30:00.000 GMT+0430,0.76595,0.76725,0.75764,0.76231,2501718.1054999996
09.04.2004 01:30:00.000 GMT+0430,0.76233,0.76510,0.76023,0.76225,2221088.9214000003
10.04.2004 01:30:00.000 GMT+0430,0.76225,0.76225,0.76225,0.76225,0
11.04.2004 01:30:00.000 GMT+0430,0.76225,0.76225,0.76225,0.76225,0
12.04.2004 01:30:00.000 GMT+0430,0.76300,0.76790,0.76139,0.76581,2458928.5862
13.04.2004 01:30:00.000 GMT+0430,0.76567,0.76886,0.75292,0.75427,2444023.2383999997
14.04.2004 01:30:00.000 GMT+0430,0.75429,0.75467,0.72940,0.73441,2618877.3362
15.04.2004 01:30:00.000 GMT+0430,0.73405,0.74203,0.73173,0.74083,2601699.8711
16.04.2004 01:30:00.000 GMT+0430,0.74103,0.74607,0.73576,0.74330,2591598.5000999994
17.04.2004 01:30:00.000 GMT+0430,0.74330,0.74330,0.74330,0.74330,0
18.04.2004 01:30:00.000 GMT+0430,0.74330,0.74330,0.74330,0.74330,0
19.04.2004 01:30:00.000 GMT+0430,0.74300,0.75107,0.74296,0.74601,2554601.7266
20.04.2004 01:30:00.000 GMT+0430,0.74585,0.74650,0.73069,0.73211,2606590.0899
21.04.2004 01:30:00.000 GMT+0430,0.73240,0.73715,0.72596,0.72988,2657806.1875999994
22.04.2004 01:30:00.000 GMT+0430,0.72966,0.73530,0.72313,0.73413,2604875.7111
23.04.2004 01:30:00.000 GMT+0430,0.73430,0.73543,0.72643,0.73243,2594916.871399999
24.04.2004 01:30:00.000 GMT+0430,0.73243,0.73243,0.73243,0.73243,0
25.04.2004 01:30:00.000 GMT+0430,0.73243,0.73243,0.73243,0.73243,0
26.04.2004 01:30:00.000 GMT+0430,0.73307,0.73600,0.72766,0.73455,2583276.7191
27.04.2004 01:30:00.000 GMT+0430,0.73475,0.73670,0.72818,0.73460,2606074.6798999994
28.04.2004 01:30:00.000 GMT+0430,0.73468,0.73630,0.72076,0.72158,2613139.9999
29.04.2004 01:30:00.000 GMT+0430,0.72166,0.72365,0.71210,0.72113,2614407.0432
30.04.2004 01:30:00.000 GMT+0430,0.72121,0.72410,0.71664,0.72021,2610613.4338999996
01.05.2004 01:30:00.000 GMT+0430,0.72021,0.72021,0.71978,0.71978,0
02.05.2004 01:30:00.000 GMT+0430,0.71978,0.71978,0.71978,0.71978,0
03.05.2004 01:30:00.000 GMT+0430,0.72145,0.72286,0.71745,0.72075,2606423.2775999997
04.05.2004 01:30:00.000 GMT+0430,0.72059,0.73115,0.71909,0.72963,2620930.6642
05.05.2004 01:30:00.000 GMT+0430,0.72985,0.73418,0.72806,0.73214,2601102.5001
06.05.2004 01:30:00.000 GMT+0430,0.73228,0.73261,0.72049,0.72130,2593067.2426
07.05.2004 01:30:00.000 GMT+0430,0.72132,0.72357,0.70146,0.70291,2606003.4573999997
08.05.2004 01:30:00.000 GMT+0430,0.70291,0.70291,0.70291,0.70291,0
09.05.2004 01:30:00.000 GMT+0430,0.70291,0.70291,0.70291,0.70291,0
10.05.2004 01:30:00.000 GMT+0430,0.70284,0.70433,0.69030,0.69519,2560907.7972999997
11.05.2004 01:30:00.000 GMT+0430,0.69521,0.69895,0.69178,0.69646,2603478.25
12.05.2004 01:30:00.000 GMT+0430,0.69659,0.70232,0.69390,0.69845,2619459.9845999996
13.05.2004 01:30:00.000 GMT+0430,0.69832,0.70005,0.68462,0.68816,2606172.8712000004
14.05.2004 01:30:00.000 GMT+0430,0.68800,0.69227,0.68281,0.69089,2598193.8167000003
15.05.2004 01:30:00.000 GMT+0430,0.69089,0.69089,0.69089,0.69089,0
16.05.2004 01:30:00.000 GMT+0430,0.69089,0.69089,0.69089,0.69089,0
17.05.2004 01:30:00.000 GMT+0430,0.69094,0.69615,0.68309,0.68514,2570178.789199999
18.05.2004 01:30:00.000 GMT+0430,0.68502,0.68837,0.67912,0.68684,2591010.4846000005
