Gmt time,Open,High,Low,Close,Volume
23.05.2008 00:00:00.000,104.020,104.255,103.060,103.370,404210
24.05.2008 00:00:00.000,103.370,103.370,103.370,103.370,0
25.05.2008 00:00:00.000,103.350,103.400,103.150,103.180,41687
26.05.2008 00:00:00.000,103.180,103.490,103.135,103.385,237760
27.05.2008 00:00:00.000,103.385,104.335,103.260,104.230,390882
28.05.2008 00:00:00.000,104.230,105.310,103.890,104.640,510745
29.05.2008 00:00:00.000,104.640,105.870,104.640,105.570,130014
30.05.2008 00:00:00.000,105.570,105.730,105.230,105.380,161951
31.05.2008 00:00:00.000,105.380,105.380,105.380,105.380,0
01.06.2008 00:00:00.000,105.540,105.540,104.910,105.430,10336
02.06.2008 00:00:00.000,105.430,105.515,104.020,104.360,217108
03.06.2008 00:00:00.000,104.370,105.560,103.865,104.960,107425
04.06.2008 00:00:00.000,104.960,105.335,104.530,105.280,101204
